"Site";"Recif_type";"Year";"Month";"Temperature";"sd.Temperature";"depth";"sd.depth";"nb"
"Passe_S_ext";"Barriere";2016;"Apr";29.9020346211741;0.24907547959419;5.73810336176618;0.852081525634411;3986
"Passe_S_ext";"Barriere";2016;"Aug";25.8235535800096;0.242514139875042;5.72317876021144;0.871456921107089;4162
"Passe_S_ext";"Barriere";2016;"Feb";28.9403222222222;0.342433564914667;5.740725;0.839286702755418;3600
"Passe_S_ext";"Barriere";2016;"Jan";29.4549045558666;0.286192341469503;5.72651819801476;0.795576391391116;3929
"Passe_S_ext";"Barriere";2016;"Jul";25.6738038562247;0.310640357961823;5.74659604855987;0.846627022435332;4201
"Passe_S_ext";"Barriere";2016;"Jun";26.8669838509317;0.366143862463187;5.70710062111801;0.827358047059378;4025
"Passe_S_ext";"Barriere";2016;"Mar";29.9098893081761;0.340361996557272;5.75061383647799;0.838212098729021;3975
"Passe_S_ext";"Barriere";2016;"May";28.3915504631887;0.714631926454624;5.75932471964895;0.867911589145118;4102
"Passe_S_ext";"Barriere";2016;"Sept";25.6492266795553;0.369109599431132;5.82256645722571;0.891897774349639;4138
"Saziley";"Frangeant";2016;"Apr";29.9421481481481;0.309606650633518;2.54568518518519;0.88435756397585;4320
"Saziley";"Frangeant";2016;"Aug";25.6502464157706;0.29554945429382;2.4955667562724;0.889076988050192;4464
"Saziley";"Frangeant";2016;"Feb";28.9976221264368;0.357100595604323;2.56433189655172;0.890777892703715;4176
"Saziley";"Frangeant";2016;"Jan";29.7421110364898;0.344947536177836;2.58197895679427;0.849186342477505;4467
"Saziley";"Frangeant";2016;"Jul";25.552313549832;0.31849866260355;2.56944008958567;0.852736450173903;4465
"Saziley";"Frangeant";2016;"Jun";26.7778680555556;0.371887504491808;2.55280787037037;0.851638389463;4320
"Saziley";"Frangeant";2016;"Mar";30.248302731751;0.350182142561581;2.57216300940439;0.888335976680296;4466
"Saziley";"Frangeant";2016;"May";28.3113440860215;0.80426976961013;2.51485887096774;0.855963450406184;4464
"Saziley";"Frangeant";2016;"Sept";25.5256283267762;0.505047833976957;2.632244850729;0.913982664677257;4321
"Tanaraki";"Frangeant";2016;"Apr";29.8431051226026;0.407629337636379;5.14386501578053;0.893924296636869;4119
"Tanaraki";"Frangeant";2016;"Aug";25.7604889298893;0.213212244038092;5.15793588560886;0.910480845136315;4336
"Tanaraki";"Frangeant";2016;"Feb";29.0038253012048;0.431938190781035;5.11599648594377;0.910225262563773;3984
"Tanaraki";"Frangeant";2016;"Jan";29.9418674418605;0.520186795327855;5.10008604651163;0.866825276005133;4300
"Tanaraki";"Frangeant";2016;"Jul";25.6751892874855;0.322287933296788;6.01075714994214;1.65173468479572;6049
"Tanaraki";"Frangeant";2016;"Jun";26.8428507960015;0.308532080594398;6.608848574602;1.79197661046437;8103
"Tanaraki";"Frangeant";2016;"Mar";30.1796003761166;0.318104810189273;5.12959567465914;0.909018702914259;4254
"Tanaraki";"Frangeant";2016;"May";28.373759310987;0.759257585290603;5.1315782122905;0.876575289076992;4296
"Tanaraki";"Frangeant";2016;"Sept";25.418313641246;0.235817150671987;5.29972073039742;0.852932248238904;1862
